data_somministrazione,fornitore,area,fascia_anagrafica,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-04-29,Pfizer/BioNTech,PAT,90+,10,8,11,7,ITH,ITH2,4,Provincia Autonoma Trento
2021-04-29,Pfizer/BioNTech,PIE,16-19,93,76,146,23,ITC,ITC1,1,Piemonte
2021-04-29,Pfizer/BioNTech,PIE,20-29,472,514,740,246,ITC,ITC1,1,Piemonte
2021-04-29,Pfizer/BioNTech,PIE,30-39,485,627,772,340,ITC,ITC1,1,Piemonte
2021-04-29,Pfizer/BioNTech,PIE,40-49,884,1125,1474,535,ITC,ITC1,1,Piemonte
2021-04-29,Pfizer/BioNTech,PIE,50-59,1465,1989,2845,609,ITC,ITC1,1,Piemonte
2021-04-29,Pfizer/BioNTech,PIE,60-69,4308,4658,8000,966,ITC,ITC1,1,Piemonte
2021-04-29,Pfizer/BioNTech,PIE,70-79,4322,4722,7333,1711,ITC,ITC1,1,Piemonte
2021-04-29,Pfizer/BioNTech,PIE,80-89,2827,4101,968,5960,ITC,ITC1,1,Piemonte
2021-04-29,Pfizer/BioNTech,PIE,90+,230,594,283,541,ITC,ITC1,1,Piemonte
2021-04-29,Pfizer/BioNTech,PUG,16-19,39,34,53,20,ITF,ITF4,16,Puglia
2021-04-29,Pfizer/BioNTech,PUG,20-29,206,189,289,106,ITF,ITF4,16,Puglia
2021-04-29,Pfizer/BioNTech,PUG,30-39,283,265,380,168,ITF,ITF4,16,Puglia
2021-04-29,Pfizer/BioNTech,PUG,40-49,453,434,605,282,ITF,ITF4,16,Puglia
2021-04-29,Pfizer/BioNTech,PUG,50-59,776,780,1182,374,ITF,ITF4,16,Puglia
2021-04-29,Pfizer/BioNTech,PUG,60-69,2021,2094,3580,535,ITF,ITF4,16,Puglia
2021-04-29,Pfizer/BioNTech,PUG,70-79,3139,3481,5997,623,ITF,ITF4,16,Puglia
2021-04-29,Pfizer/BioNTech,PUG,80-89,1372,1949,532,2789,ITF,ITF4,16,Puglia
2021-04-29,Pfizer/BioNTech,PUG,90+,219,441,152,508,ITF,ITF4,16,Puglia
2021-04-29,Pfizer/BioNTech,SAR,16-19,45,29,63,11,ITG,ITG2,20,Sardegna
2021-04-29,Pfizer/BioNTech,SAR,20-29,124,145,163,106,ITG,ITG2,20,Sardegna
2021-04-29,Pfizer/BioNTech,SAR,30-39,153,254,219,188,ITG,ITG2,20,Sardegna
2021-04-29,Pfizer/BioNTech,SAR,40-49,295,437,406,326,ITG,ITG2,20,Sardegna
2021-04-29,Pfizer/BioNTech,SAR,50-59,497,624,593,528,ITG,ITG2,20,Sardegna
2021-04-29,Pfizer/BioNTech,SAR,60-69,966,925,1109,782,ITG,ITG2,20,Sardegna
2021-04-29,Pfizer/BioNTech,SAR,70-79,1151,1116,1157,1110,ITG,ITG2,20,Sardegna
2021-04-29,Pfizer/BioNTech,SAR,80-89,477,773,397,853,ITG,ITG2,20,Sardegna
2021-04-29,Pfizer/BioNTech,SAR,90+,97,210,97,210,ITG,ITG2,20,Sardegna
2021-04-29,Pfizer/BioNTech,SIC,16-19,58,61,87,32,ITG,ITG1,19,Sicilia
2021-04-29,Pfizer/BioNTech,SIC,20-29,444,504,561,387,ITG,ITG1,19,Sicilia
2021-04-29,Pfizer/BioNTech,SIC,30-39,522,564,787,299,ITG,ITG1,19,Sicilia
2021-04-29,Pfizer/BioNTech,SIC,40-49,836,946,1345,437,ITG,ITG1,19,Sicilia
2021-04-29,Pfizer/BioNTech,SIC,50-59,1600,1689,2540,749,ITG,ITG1,19,Sicilia
2021-04-29,Pfizer/BioNTech,SIC,60-69,2920,3054,4843,1131,ITG,ITG1,19,Sicilia
2021-04-29,Pfizer/BioNTech,SIC,70-79,3671,3717,4891,2497,ITG,ITG1,19,Sicilia
2021-04-29,Pfizer/BioNTech,SIC,80-89,1812,2405,1649,2568,ITG,ITG1,19,Sicilia
2021-04-29,Pfizer/BioNTech,SIC,90+,276,579,482,373,ITG,ITG1,19,Sicilia
2021-04-29,Pfizer/BioNTech,TOS,16-19,18,13,23,8,ITI,ITI1,9,Toscana
2021-04-29,Pfizer/BioNTech,TOS,20-29,86,128,186,28,ITI,ITI1,9,Toscana
2021-04-29,Pfizer/BioNTech,TOS,30-39,120,164,244,40,ITI,ITI1,9,Toscana
2021-04-29,Pfizer/BioNTech,TOS,40-49,223,272,429,66,ITI,ITI1,9,Toscana
2021-04-29,Pfizer/BioNTech,TOS,50-59,414,436,763,87,ITI,ITI1,9,Toscana
2021-04-29,Pfizer/BioNTech,TOS,60-69,645,571,1132,84,ITI,ITI1,9,Toscana
2021-04-29,Pfizer/BioNTech,TOS,70-79,1154,1090,2073,171,ITI,ITI1,9,Toscana
2021-04-29,Pfizer/BioNTech,TOS,80-89,7792,10138,370,17560,ITI,ITI1,9,Toscana
2021-04-29,Pfizer/BioNTech,TOS,90+,358,1103,80,1381,ITI,ITI1,9,Toscana
2021-04-29,Pfizer/BioNTech,UMB,16-19,9,4,9,4,ITI,ITI2,10,Umbria
2021-04-29,Pfizer/BioNTech,UMB,20-29,49,64,63,50,ITI,ITI2,10,Umbria
2021-04-29,Pfizer/BioNTech,UMB,30-39,46,82,71,57,ITI,ITI2,10,Umbria
2021-04-29,Pfizer/BioNTech,UMB,40-49,94,118,109,103,ITI,ITI2,10,Umbria
2021-04-29,Pfizer/BioNTech,UMB,50-59,126,190,174,142,ITI,ITI2,10,Umbria
2021-04-29,Pfizer/BioNTech,UMB,60-69,259,228,296,191,ITI,ITI2,10,Umbria
2021-04-29,Pfizer/BioNTech,UMB,70-79,404,370,437,337,ITI,ITI2,10,Umbria
2021-04-29,Pfizer/BioNTech,UMB,80-89,594,832,451,975,ITI,ITI2,10,Umbria
2021-04-29,Pfizer/BioNTech,UMB,90+,105,204,116,193,ITI,ITI2,10,Umbria
2021-04-29,Pfizer/BioNTech,VDA,16-19,3,2,5,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-04-29,Pfizer/BioNTech,VDA,20-29,6,6,12,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-04-29,Pfizer/BioNTech,VDA,30-39,9,8,13,4,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-04-29,Pfizer/BioNTech,VDA,40-49,36,33,67,2,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-04-29,Pfizer/BioNTech,VDA,50-59,31,42,64,9,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-04-29,Pfizer/BioNTech,VDA,60-69,36,27,21,42,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-04-29,Pfizer/BioNTech,VDA,70-79,288,252,259,281,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
