data_somministrazione,area,totale,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,pregressa_infezione,dose_aggiuntiva,dose_booster,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-05-17,PAT,4365,2162,2203,3744,363,258,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-06-19,PIE,39727,20155,19572,22769,16379,579,0,0,ITC,ITC1,1,Piemonte
2021-09-11,PAB,980,542,438,362,586,32,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-01-02,TOS,3548,1127,2421,3496,0,52,0,0,ITI,ITI1,9,Toscana
2021-02-13,CAM,5508,2549,2959,5104,209,195,0,0,ITF,ITF3,15,Campania
2021-04-30,EMR,36666,16813,19853,21128,14696,842,0,0,ITH,ITH5,8,Emilia-Romagna
2021-07-06,PIE,38031,19235,18796,8669,28759,603,0,0,ITC,ITC1,1,Piemonte
2021-08-01,SAR,3054,1501,1553,1026,1986,42,0,0,ITG,ITG2,20,Sardegna
2021-08-29,UMB,1953,1007,946,687,1256,10,0,0,ITI,ITI2,10,Umbria
2021-02-21,MAR,376,141,235,362,1,13,0,0,ITI,ITI3,11,Marche
2021-04-04,CAL,1578,790,788,1143,422,13,0,0,ITF,ITF6,18,Calabria
2021-04-21,VEN,32428,13210,19218,15526,15994,908,0,0,ITH,ITH3,5,Veneto
2021-05-24,UMB,9083,4523,4560,8019,880,184,0,0,ITI,ITI2,10,Umbria
2021-06-30,BAS,3452,1668,1784,2312,1109,31,0,0,ITF,ITF5,17,Basilicata
2021-07-08,LAZ,64471,31658,32813,28113,35558,800,0,0,ITI,ITI4,12,Lazio
2021-07-18,TOS,30409,15293,15116,8315,21829,265,0,0,ITI,ITI1,9,Toscana
2021-08-25,PAT,4435,2377,2058,1135,3223,77,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-02-07,PAB,2696,1196,1500,347,2334,15,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-02-12,MOL,338,152,186,211,123,4,0,0,ITF,ITF2,14,Molise
2021-02-25,SIC,9945,5210,4735,8679,1143,123,0,0,ITG,ITG1,19,Sicilia
2021-03-28,PIE,16055,6898,9157,8122,7504,429,0,0,ITC,ITC1,1,Piemonte
2021-04-18,UMB,1550,686,864,574,948,28,0,0,ITI,ITI2,10,Umbria
2021-04-23,SAR,13090,5801,7289,7360,5549,181,0,0,ITG,ITG2,20,Sardegna
2021-05-22,VEN,34852,16712,18140,12819,21317,716,0,0,ITH,ITH3,5,Veneto
2021-11-07,PUG,141,59,82,20,16,2,22,81,ITF,ITF4,16,Puglia
2021-01-11,UMB,1386,381,1005,1382,0,4,0,0,ITI,ITI2,10,Umbria
2021-07-08,FVG,13162,7110,6052,1366,11589,207,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-07-14,ABR,13725,6799,6926,2437,11125,163,0,0,ITF,ITF1,13,Abruzzo
2021-07-27,LAZ,56604,27506,29098,8106,48125,373,0,0,ITI,ITI4,12,Lazio
2021-08-01,CAM,16086,8416,7670,6810,8822,454,0,0,ITF,ITF3,15,Campania
2021-08-06,MAR,11706,6354,5352,4140,7272,294,0,0,ITI,ITI3,11,Marche
2021-09-17,CAL,9012,4683,4329,3920,4863,229,0,0,ITF,ITF6,18,Calabria
2021-02-11,VEN,4017,1239,2778,3128,607,282,0,0,ITH,ITH3,5,Veneto
2021-03-28,EMR,13574,6071,7503,9467,3886,221,0,0,ITH,ITH5,8,Emilia-Romagna
2021-04-07,PUG,15774,7165,8609,8782,6698,294,0,0,ITF,ITF4,16,Puglia
2021-04-08,ABR,7399,3335,4064,4935,2330,134,0,0,ITF,ITF1,13,Abruzzo
2021-06-05,SIC,59968,28527,31441,48732,10563,673,0,0,ITG,ITG1,19,Sicilia
2021-07-27,UMB,8152,4094,4058,2683,5337,132,0,0,ITI,ITI2,10,Umbria
2021-08-07,ABR,6492,3616,2876,1833,4556,103,0,0,ITF,ITF1,13,Abruzzo
2021-09-07,VDA,693,365,328,111,579,3,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-09-13,LIG,7073,3642,3431,2306,4582,185,0,0,ITC,ITC3,7,Liguria
